,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
RN7SKP70,0,0.2545,0,0.6559,0.091,0.6648,0.2872,0.0406,0.3098,0.1998,0.0645,0.7446
MIR2115,0,0,0,0,0,0,0,0,0,0,0,0.1345
RNU6-347P,0,0,0,0,0,0,0,0,0,0,0,0.1281
RNU2-57P,0,0,0,0,0,0,0,0,0,0.0709,0,0
RNU7-160P,0,0,0,0,0,0,0.2511,0,0,0.2184,0.2821,0.4339
RNU6-551P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-521P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-539P,0.8019,0.5356,0.7222,0.3835,0.4786,0.8745,0.4535,0.2138,0,0.2629,0.5095,0.3918
RNU6-1332P,0,0,0,0,0,0,0,0,0,0,0,0.1293
RNA5SP309,0,0,0,0,0,0.1062,0,0,0,0.1277,0.4951,0.7615
RNU6-719P,0,0,0,0,0,0,0,0,0,0.1302,0,0
SCARNA13,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-22P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1178P,0,0,0.3476,0,0,0,0,0,0.1569,0,3.9235,0
RN7SKP49,0,0,0,0,0,0.0866,0,0,0,0,0,0
VAULT,0,0,0.5873,0,0,0,0,0,0,0,0,0.1416
RNY4P20,2.5164,0,0,0,0.1325,0,0.1674,0,0,0,0,0
RNU6-197P,0,0.2758,0.9299,0,0.3697,0.3378,0.6228,1.3212,0.3358,0.4061,0.6997,1.2107
RN7SKP66,0,0,0,0,0,0,0,0,0,0,0,0.1165
RNU1-142P,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-126P,0,0.1339,2.5278,0,2.0342,0.4373,0.1512,0.6413,0.652,2.2344,0.5095,0.7836
RNA5SP33,0,0.2815,0.3795,0.403,0.1258,0.4596,0.6355,0.8988,0.514,0.1381,0.1785,1.0981
RPPH1-2P,0,0,0,0,0,0,0,0,0,0,0,0.0459
RNU6-1016P,16.5487,5.4288,23.9388,9.6645,6.6867,6.109,10.9313,8.0816,1.7861,4.1766,4.094,7.0124
RNU6-63P,0,0,0.5873,0,0,0,0.1639,0,0.1767,0,0,0.708
RNU4-77P,0,0,0,0,0,0,0,0,0,0,0,0.0862
RNU6-531P,2.6473,3.9785,2.8611,1.5192,6.7548,1.7323,2.3952,2.2231,5.9732,2.3431,1.5138,8.0197
RNU6-180P,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-81P,0,0,0,0,0,0,0,0.172,0,0,0,0
RNU4ATAC3P,0,0,0,0,0,0,0,0,0,0,0,0.1068
RNA5SP271,0,0,0,0,0,0,0,0,0.3816,0,0,0
RNA5SP55,0,0,0,0,0.0986,0,0,0,0,0,0.1399,0.1076
RNA5SP206,0.9102,0.114,0,0.4897,0.1019,0.0931,0.1287,0,0.4163,0,0,0.3335
RNU1-128P,0,0,0,0,0,0,0,0,0,0,0,0
RNU7-53P,0,0,0.6199,0.3292,0,0,0,0,0.8395,0,0,0.6726
RNU6-1171P,0,0,0,0,0,0,0,0,0,0,0,0
RNA5SP82,0.8978,2.9983,0.2021,1.288,1.4736,4.406,2.0307,1.436,4.1974,1.0301,3.4224,7.311
SNORD59,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-783P,0,0,0,0,0,0,0,0,0.1599,0,0.1666,0.1281
RNU5D-2P,0,0,0,0,0,0,0,0,0,0,0,0
