,Control1,Control2,Control3,Control4,Control5,Control6,Patient1,Patient2,Patient3,Patient4,Patient5,Patient6
TSPAN6,2.1274,10.3744,38.5881,20.7899,18.9922,8.4969,4.2183,19.5097,37.865,4.5992,6.6985,4.1786
TNMD,0.0093,0.0561,0,0.0268,0.0584,0.0153,0.0316,0.0298,0.182,0,0.0356,0.0182
DPM1,29.2089,50.4831,64.82,22.3018,41.8341,42.6507,23.2824,64.024,109.931,69.5857,47.7527,23.8174
SCYL3,1.442,3.4204,2.0264,1.0932,2.4101,2.7679,2.2642,3.7397,3.7004,2.0279,1.9594,3.8678
C1ORF112,0.256,2.8138,1.3457,0.4499,1.6391,2.069,1.3196,2.7736,5.1381,2.186,2.4612,1.2596
FGR,1.563,4.808,3.8712,1.8103,1.5998,1.6014,4.9533,2.2527,2.2488,1.2609,2.1878,5.9068
CFH,4.1781,9.1878,5.0548,11.018,7.6928,10.296,12.4941,5.7559,9.2742,1.8984,14.908,34.2731
FUCA2,8.488,39.0252,25.5166,9.9306,17.216,19.5788,23.0223,42.8332,22.7567,20.4606,21.2736,8.9428
GCLC,3.5238,9.4982,5.2934,3.5681,7.212,4.045,3.595,9.6031,4.775,6.8161,4.4695,4.1787
NFYA,3.3449,11.3383,8.1542,3.2855,10.5524,13.5879,9.9067,13.1562,16.8511,13.094,7.2246,8.5599
STPG1,1.2066,0.8216,0.5659,1.1556,1.5842,1.2767,0.7829,0.7348,1.371,1.8436,1.7881,1.5474
NIPAL3,4.6459,4.066,3.5646,4.6199,4.5463,3.1049,5.1714,4.2194,3.8918,8.0802,2.6678,9.0942
LAS1L,1.8399,3.9382,1.5405,1.5699,3.0215,2.6932,2.6103,5.4202,2.4753,3.3621,2.8297,3.8562
ENPP4,6.2487,7.1663,5.258,2.9854,5.3184,6.4372,7.1575,4.6016,5.8025,1.5246,7.974,7.3113
SEMA3F,3.4144,12.4745,15.0904,45.1622,16.6788,20.3286,6.6811,20.1282,2.7275,11.7792,2.8562,6.4084
CFTR,0.8599,4.4225,2.0539,0.7529,16.4191,0.0781,13.7336,13.9465,1.986,25.3317,4.5464,14.8122
ANKIB1,5.293,209.3066,4.5404,5.2093,14.5396,14.6549,9.1235,14.9314,12.5404,33.3971,11.297,12.0851
CYP51A1,0.6046,16.7857,1.054,2.3001,1.5716,2.1473,0.7632,0.9952,0.5328,3.2109,0.2032,0.8234
KRIT1,0.983,13.9165,0.8933,0.503,0.9237,1.4882,1.1167,1.3895,1.7645,4.2355,1.3759,1.6479
RAD52,1.4032,1.902,2.383,0.7412,1.7243,2.7931,2.3545,1.7457,4.1051,2.9253,2.6648,4.1645
MYH16,0.0175,0.0612,0.059,0.0094,0.1681,0.1375,0.0321,0.0838,0.1917,0.3349,0.0111,0.1514
BAD,11.1145,6.8799,8.3621,7.6661,3.0595,7.4098,5.3415,5.8916,2.4968,6.8245,2.3658,5.7889
LAP3,13.4752,50.5294,24.6945,11.8235,37.8659,27.535,87.7781,95.5181,27.2357,21.9148,61.2905,33.8281
CD99,55.4386,32.1634,42.8291,31.4655,14.8666,35.5198,26.5934,15.4448,20.636,8.0063,49.7119,24.7143
HS3ST1,0.9684,4.0569,3.1916,10.1496,5.4885,1.5508,4.7555,7.1167,0.9688,5.9906,3.5126,5.9382
AOC1,32.561,38.6475,53.3204,3.4272,28.0412,4.0923,51.7523,14.0922,40.2529,20.4858,10.0307,29.168
WNT16,0.2151,0.0549,0.0969,0.0424,0.4795,0.0345,0.1145,0.027,0.0514,0.0373,0.1233,0.6594
HECW1,0.0454,0.0752,0.032,0.0213,0.2167,0.2206,0.0223,0.0213,0.4458,0.0389,0.0439,0.0589
MAD1L1,0.0133,0.0782,0.0669,0.0137,0.1227,0.0857,0.0603,0.0685,0.1579,0.0431,0.0387,0.6308
LASP1,20.3616,47.5913,61.4274,21.0582,71.0692,62.2721,45.9195,93.1762,131.8496,84.1041,28.4397,41.2333
SNX11,3.7638,4.6719,3.5547,4.033,3.3458,5.6394,5.5111,9.0544,3.9079,5.3884,3.5256,6.6041
TMEM176A,10.381,43.8829,200.9465,9.5537,29.4485,18.6852,54.5023,12.9412,63.2174,11.3654,24.5759,21.7783
M6PR,5.8905,17.8815,7.9472,9.0566,12.1664,12.1109,10.3271,27.8636,20.9153,11.4951,18.3707,17.5837
KLHL13,2.1922,2.4175,1.9894,1.0408,0.2806,0.4741,0.7135,0.0441,2.0701,0.8492,1.498,1.8706
CYP26B1,0.258,0.2035,0.471,2.4219,0.5087,0.4401,3.8154,0.0944,0.3381,0.3941,1.3638,1.0086
ICA1,2.151,6.4398,6.5469,4.0041,10.0934,13.3904,4.113,3.1137,13.3098,8.847,6.355,4.6751
DBNDD1,1.5827,0.7511,2.359,12.101,7.5931,9.6573,1.1619,1.7593,4.7298,14.961,4.034,3.4942
ALS2,1.8055,3.8133,2.0471,1.2847,4.5647,4.22,3.0786,4.7412,7.5229,3.6381,3.6165,2.9346
CASP10,1.9575,4.9794,4.1875,3.0402,6.6102,3.7948,8.6193,20.3493,4.9609,11.813,6.1262,7.5823
CFLAR,4.1337,6.9037,3.8792,4.7434,5.8309,5.8781,6.9994,6.0434,5.7302,7.872,6.0759,13.8892
TFPI,3.247,2.2771,5.9789,3.7681,5.0712,2.156,4.2119,0.7002,23.5703,20.8167,2.2579,6.2794
NDUFAF7,2.6167,4.2649,3.8916,1.3523,3.3925,3.8427,2.9466,4.1886,6.2081,2.8033,4.3408,3.6956
RBM5,3.5435,4.1827,3.9126,1.9793,5.4763,4.3204,6.8532,4.8888,8.971,7.7722,10.7062,11.9638
MTMR7,0.3815,0.2668,0.2094,0.114,0.0978,0.1707,0.2023,0.1081,0.3562,0.1544,0.4621,0.3107
SLC7A2,4.6392,1.3696,7.7682,2.301,6.2706,12.8935,1.1029,0.0529,15.188,0.4504,1.0024,10.2701
ARF5,25.3674,28.2415,42.1669,51.4455,35.1031,30.4599,25.5586,35.4421,18.4178,35.2286,22.6395,24.4132
SARM1,0.8132,1.16,0.8089,0.409,0.6659,0.9095,0.6659,0.1933,1.5089,0.4547,0.4521,1.4755
POLDIP2,23.4179,43.2304,44.5075,32.7601,43.0206,58.1584,39.7152,67.2416,70.132,40.8676,39.4792,21.3272
PLXND1,4.2637,17.2627,9.1633,6.1973,30.4059,25.7476,15.0166,8.1654,7.7157,9.7615,7.012,20.5438
AK2,5.106,13.4051,10.2443,7.3047,11.2912,5.4082,12.3581,15.8608,10.1033,14.7266,14.9353,9.8758
CD38,0.9235,4.061,1.5676,0.8266,2.4732,5.7588,2.1865,12.5318,2.8525,0.4265,3.3623,6.066
FKBP4,7.5616,10.2926,7.7046,12.0684,13.8308,25.3393,20.9515,27.8388,14.1001,28.8932,28.0495,10.0547
KDM1A,8.4672,11.4215,13.5854,9.4099,23.0587,9.3079,16.4675,17.1217,29.4555,26.7003,21.7466,14.0656
RBM6,7.8893,7.2843,6.3442,3.485,10.734,5.8281,6.5932,7.5314,11.0848,9.6022,10.4394,12.881
CAMKK1,1.0242,0.8684,0.4704,0.8954,1.1507,1.0392,1.3552,0.3229,3.1668,1.5099,0.7578,1.2524
RECQL,2.2476,8.1497,2.2539,1.5574,13.0518,6.853,5.4959,7.738,8.2992,2.823,8.9476,9.7609
VPS50,1.7973,26.9362,1.428,1.2314,2.157,3.9637,3.1402,3.9736,4.3647,11.7564,4.4102,3.9024
HSPB6,860.5756,4.264,2.028,52.2485,1.394,16.1973,58.9522,0.6578,4.3824,0.7539,4.7993,21.4348
ARHGAP33,1.7927,1.8617,0.3465,0.6383,2.2704,2.6458,1.3142,2.9345,3.1376,3.786,3.9308,2.9078
NDUFAB1,41.5208,48.3522,25.1565,20.1703,16.0028,45.1989,43.5989,64.3227,36.171,57.0294,62.1275,24.7582
PDK4,222.3063,10.4624,4.8621,10.1745,23.1628,18.0616,9.8196,2.7621,3.2404,5.1989,8.9579,24.0685
SLC22A16,0,0.1094,0.0048,0,0.0032,0.0058,0.0359,0,0.0516,0.0069,0.0448,0.031
ZMYND10,0.0762,0.1193,0.1094,0.0615,0.1152,1.7266,0.1724,0.1562,0.1569,0.403,0.1211,0.1909
ABCB5,0.0877,0.0566,0.0141,0,0.0027,0.0134,0.0572,0,0.0363,0.0015,0.0132,0.0596
ARX,0.0707,0.2702,0.0299,0.0127,0.0277,0.7087,0.555,0.0035,0.1779,0.0043,0.4494,0.0346
SLC25A13,2.8905,18.0374,5.4738,4.1734,13.773,11.9396,7.134,20.2477,20.0342,20.4202,7.3977,6.088
ST7,2.6157,4.2543,3.7473,2.8023,3.1954,5.5954,4.0747,4.2126,3.7922,4.6883,5.5833,3.5208
CDC27,6.413,9.1293,4.9872,5.6724,11.6852,9.1411,13.4425,21.1788,24.0105,7.5348,12.0273,9.2514
SLC4A1,0.0107,0.0081,0.0472,0.0501,0.4353,0.0066,0.0122,0.0086,0.2162,0.0238,0.0444,0.0656
CALCR,0.0456,0.2417,0.0264,0.0234,0.0876,0.112,0.0074,0.0574,0.1591,0.4329,0.0456,0.0797
HCCS,7.9847,21.9448,11.5408,9.0444,14.0183,10.9858,13.7216,13.9371,12.5544,10.2099,15.2601,12.5739
DVL2,5.7176,6.3945,7.3221,6.5287,6.6823,4.3443,4.9712,2.9816,5.2473,7.7498,3.2217,7.3114
PRSS22,0.3407,17.0954,11.1239,55.0229,5.1128,9.2949,6.5044,12.4598,4.1974,20.3695,0.8732,5.7895
UPF1,9.2138,25.3961,11.406,12.7646,34.2408,18.2995,16.0719,23.2908,17.8019,24.3031,14.3033,29.8201
SKAP2,16.4213,17.6587,16.0508,6.1373,7.6508,13.2319,13.051,3.2181,20.4066,0.9066,13.4856,15.9867
SLC25A5,163.972,286.6342,211.3486,157.6386,112.5776,104.8132,165.0302,253.1166,134.65,238.5392,270.7557,129.9209
MCUB,1.8045,4.3723,2.9556,2.7721,2.7041,2.4705,7.2392,7.9871,2.5267,3.9415,10.6283,11.2386
HOXA11,0.0052,0,4.0692,0.0222,0.1986,0.6539,4.2291,1.188,0.5787,4.2354,4.6598,0.0353
POLR2J,28.0911,26.9631,52.5384,27.7802,18.6187,27.0815,16.1204,34.4754,19.1189,90.9995,18.5639,18.0986
DHX33,2.3138,4.9579,7.1799,2.2618,5.7993,5.3332,4.8624,7.1965,8.8254,6.7585,7.3759,3.2556
MEOX1,1.4054,1.047,1.7665,1.1005,0.3226,0.5937,4.5239,0.6135,0.6781,1.2353,0.471,3.4058
THSD7A,0.6076,0.5771,0.5296,0.3671,0.6873,0.5382,1.0549,0.1432,0.3121,0.0694,0.346,1.2946
LIG3,1.0447,3.3205,2.8946,1.5997,4.3553,4.4058,2.8879,6.0711,3.0765,3.8523,2.2806,2.9999
RPAP3,3.3785,9.1517,5.9684,3.1931,7.0584,4.586,6.2392,7.9229,20.5678,5.3494,6.3463,7.6867
ACSM3,0.2163,2.2332,1.149,0.5759,1.8085,1.3134,1.3662,6.1132,2.7476,1.9685,1.316,3.2207
REXO5,0.72,1.5198,0.6288,0.5236,2.6742,1.2709,1.0036,2.2389,1.507,2.0681,2.6083,0.7592
CIAPIN1,3.4629,8.1904,6.2173,5.8845,12.1424,15.2704,12.5867,20.4084,19.4396,12.2575,15.5379,10.2513
SPPL2B,3.5942,7.0865,7.9662,3.3009,5.8093,13.1629,6.8223,5.5234,6.7257,7.029,5.2555,11.9383
FAM214B,4.051,2.0488,1.6074,9.2659,4.0154,5.0143,4.1004,3.252,1.5907,3.3765,4.3134,2.165
COPZ2,24.6256,1.8182,2.372,6.9535,2.1069,6.5772,3.6961,0.5428,3.3921,0.8634,7.4151,2.3502
PRKAR2B,9.0149,3.2199,2.7184,4.1195,2.7269,1.7595,9.8484,1.2374,4.6878,0.7655,1.3421,3.6298
MSL3,1.5385,5.1107,3.7955,2.0375,3.3407,3.1016,5.0575,3.7926,4.3364,2.972,9.4581,9.297
CREBBP,10.5547,20.0977,9.2823,7.5991,13.7291,13.522,13.5311,12.1001,7.2097,12.129,7.5941,25.3716
TSPOAP1,1.801,1.1577,0.4997,0.6954,1.4219,1.1973,0.6603,0.4089,0.8477,0.1759,0.8724,2.1107
MPO,0.0234,0.0626,0,0.14,0.0384,0.0447,0.0397,0.0156,0.0333,0.0345,0.0198,0.1335
PON1,0.0311,0.0571,0.049,0.0149,0.1995,0.7713,0.041,0,1.5924,0.0306,0.0132,0.0253
GCFC2,3.3949,3.1185,2.7681,1.9525,3.177,3.5189,4.1844,4.5534,4.6538,5.2249,3.4011,5.0218
WDR54,1.9742,2.0359,4.558,1.468,3.1503,4.8521,1.6431,3.0265,8.4948,1.9747,2.2816,2.6037
CROT,4.1863,3.1091,1.493,4.112,1.3472,2.7975,1.6582,4.5075,2.0638,0.9486,1.807,3.7193
ABCB4,0.2458,0.257,0.2767,0.0894,0.2281,0.2448,0.2377,0.0712,0.2281,0.0315,0.1426,1.5197
KMT2E,13.084,24.1114,8.9948,9.7129,11.7696,16.9343,16.162,12.3266,15.6638,44.646,13.5892,27.624
RHBDD2,18.3395,45.1097,40.9913,36.2428,44.8583,58.3291,32.0563,48.7006,35.4404,27.7615,25.7263,44.8542
SOX8,0.3696,0.4474,0.0957,0.5611,0.568,0.3955,0.505,0.0443,1.5437,0.0727,0.0587,10.5181
IBTK,6.4702,18.6704,4.6925,5.6763,12.7628,15.3096,12.303,14.1375,11.8156,11.9108,14.1019,9.7139
ZNF195,0.6218,2.5674,3.5015,0.7251,2.6057,1.8268,2.6283,3.4596,5.8091,2.0288,5.5639,3.5047
MYCBP2,3.8069,6.742,3.6329,4.3768,4.987,3.9202,9.4151,8.1476,5.3948,4.0715,7.285,15.4348
FBXL3,4.7528,7.9836,6.4653,4.5968,5.8192,8.5991,8.8978,5.4146,6.6413,8.7109,7.9354,10.3478
ITGAL,0.4536,6.0375,2.7809,0.3984,3.0749,0.7808,4.4052,4.8787,2.948,0.5915,3.1654,24.533
PDK2,11.9167,6.9275,2.9369,3.8553,7.033,2.3483,3.5088,6.9065,22.5311,3.1253,5.0389,4.8021
ITGA3,25.4355,13.5247,5.3712,14.2065,47.8171,24.9731,38.5712,75.0438,50.7468,38.8269,12.4099,16.9574
ZFX,4.247,6.706,5.2455,2.1329,4.5605,4.9701,8.5295,3.9375,5.7296,3.2628,7.969,11.1227
LAMP2,8.5724,35.1385,21.0473,21.2529,20.4383,19.8422,15.5722,23.717,26.4339,12.3547,31.9752,24.9206
ITGA2B,0.0532,0.0436,0.0784,0.0139,0.2683,0.0751,0.0492,0.0909,0.2093,0.0594,0.0553,0.0614
ASB4,0.003,0.006,0,0.0172,0.1418,22.8372,0.0203,0.0048,0.0765,0,0,0.1256
GDE1,20.8311,16.4656,25.3962,14.9357,26.7294,28.4263,22.0695,16.6976,28.8365,12.6591,21.4173,16.5136
C19ORF60,6.8974,6.4807,11.4528,3.9838,6.7491,5.0904,7.6343,4.0139,4.3132,6.3574,5.3188,14.027
CRLF1,1.9116,0.2045,0.0815,8.5933,0.3365,1.5446,0.5877,0.0074,1.2732,0.1369,0.3596,2.0584
OSBPL7,2.9744,5.8803,1.2366,1.1479,5.2603,3.8018,4.1386,14.7622,2.7463,7.6651,4.7005,7.6125
TMEM98,9.2942,22.0853,33.01,5.2847,10.3501,18.039,4.6073,27.3449,18.8998,6.8303,13.6749,11.1182
YBX2,1.3644,2.5553,2.297,0.7122,3.7551,1.8576,2.0171,0.0119,4.7022,6.3963,6.9728,0.061
KRT33A,0,0,0.7136,2.3038,0.0189,0.9333,0,0,0.1675,0,0,0.0103
MAP3K14,9.8947,8.1443,1.5552,2.453,3.2247,1.9826,5.0239,8.9643,2.4734,3.6114,2.4288,15.5124
ABCC8,0.1137,0.0274,0.3856,0.0063,0.0196,0.0653,0.0099,0.0026,0.2401,0.0172,0.0459,0.0363
CACNG3,0,0.036,0,0.0103,0.0064,0.0235,0,0,0.0088,0,0,0.0842
TMEM132A,0.4731,2.3909,5.4048,4.3061,10.5675,4.6314,2.9879,5.467,4.5563,3.1435,2.5755,2.234
AP2B1,22.2315,38.7015,33.6614,19.6218,58.1744,43.6683,71.9786,132.2178,52.4783,38.4312,77.134,43.5061
TAC1,4.6316,0.0564,0.3476,0.0461,0,0.0197,0.5184,0.0064,0,0,0.0715,0
ZNF263,2.1736,7.3408,2.3206,1.718,3.4223,5.1683,4.9092,6.9655,2.1449,9.2438,4.759,6.0003
CX3CL1,5.0838,8.0554,3.4417,10.7726,21.1958,5.7753,8.2233,54.8489,7.7581,0.5247,1.0947,15.5966
SPATA20,8.9453,10.417,5.1188,3.6116,5.6092,10.0762,7.0683,21.9575,33.5159,9.0177,4.8377,4.3026
CACNA1G,0.0424,0.0123,0.0129,0.0687,0.011,0.0246,0.0325,0.0109,0.4438,0.0081,0.0174,0.25
TNFRSF12A,33.5937,31.8725,19.165,28.2916,24.218,35.736,24.4555,35.456,13.1817,79.6346,25.8938,11.3161
DLX6,0.0599,0.1041,0.0972,0.0115,0.0107,2.1147,0.1491,0.0064,0.0341,2.3814,0,0.0469
MAP3K9,0.5068,0.9476,1.0886,3.8858,0.9891,1.3681,1.7547,2.0924,2.1376,2.1696,1.0267,1.3163
RALA,10.5737,15.7072,23.7049,18.2759,24.9109,14.1163,21.6633,25.1817,21.5087,16.8138,26.1189,11.479
BAIAP2L1,4.9257,330.6361,8.4711,12.2895,25.4825,23.8624,15.6432,25.4723,7.8984,135.122,21.2623,15.0707
KDM7A,3.4276,7.1225,4.682,5.5975,5.2253,2.1011,4.4675,6.066,2.9719,2.6952,12.5551,9.5434
ETV1,2.7003,1.3082,0.5532,6.7762,2.2662,2.2953,1.0331,0.6859,1.8701,1.1912,2.8508,2.6457
AGK,1.3487,3.3948,2.3348,1.3662,2.802,1.7589,2.0333,3.0887,2.8001,1.1783,3.318,3.3276
ALDH3B1,3.7355,4.0402,3.3119,4.0715,17.1811,18.1471,21.8636,4.4481,6.4234,5.3776,1.1141,4.1518
TTC22,4.1292,10.8422,7.8089,31.0637,11.0963,8.5604,11.3448,0.6846,8.0911,9.5969,8.4872,9.7695
PHTF2,2.0667,3.101,1.8348,1.583,2.315,3.933,2.7533,5.3227,2.7885,2.7339,5.675,4.786
CCL26,0.47,0.5886,4.1268,0.1966,0.3682,0.5606,0.5094,0.094,0.7165,0.3852,1.9657,0.2679
FARP2,2.1668,4.9895,2.5713,2.1933,8.5932,3.3761,5.0398,12.5894,7.6382,5.3687,7.8364,5.7597
USH1C,5.589,18.7924,25.4003,0.443,11.4148,14.4719,9.848,19.2827,36.0473,14.3883,12.2561,15.8718
GGCT,7.8417,11.7068,49.771,8.71,8.8994,12.0721,11.496,38.8585,14.7144,16.0945,18.9081,7.0384
DBF4,0.5153,4.2021,4.9093,1.4613,5.2275,5.168,5.6922,9.3492,6.1531,6.8176,8.7862,3.6156
TBXA2R,4.4215,1.0636,1.7564,1.2086,2.1231,2.3619,1.3713,0.8256,0.4335,0.6034,0.3774,1.675
IFRD1,2.8518,0.7453,1.5368,0.5124,1.1542,1.3636,1.1073,0.8067,1.449,1.7355,2.8446,1.0351
LGALS14,0,0.0153,0.3086,0.0437,0,0,0,0,28.6386,0,0.0194,0.0595
COX10,2.0865,3.1071,2.7362,3.2097,1.7713,2.4633,4.2287,2.7296,4.8311,4.2522,4.6087,2.2261
GTF2IRD1,5.359,11.012,5.0763,10.1284,15.6982,7.8622,6.1135,9.5342,6.8227,8.2782,4.2446,2.6309
PAF1,18.862,14.0291,16.5024,14.4274,18.0631,23.2898,16.4156,21.4129,16.1473,18.1172,14.8471,14.7173
VPS41,7.3679,11.0912,9.9582,4.2546,7.3594,8.0207,7.8949,8.9858,11.6911,5.7352,7.4352,11.0437
ARHGAP44,0.9968,8.0707,3.4254,0.4513,2.0294,1.1692,2.2864,2.4436,1.774,2.1087,4.7643,1.824
ELAC2,6.5941,9.6576,8.7992,7.1049,7.4754,7.5531,12.8518,10.3241,13.8401,14.6923,13.8875,9.3102
SCIN,2.3729,1.1175,0.6814,2.3357,0.4505,0.3458,0.2062,0.0426,0.4303,0.2841,0.4679,1.6465
ARSD,2.4531,12.5278,17.181,5.1355,9.5951,10.0354,9.925,5.2181,5.5081,3.3913,7.1329,9.2841
PNPLA4,4.3667,3.9908,8.9469,4.8056,4.7116,3.6278,0.7942,2.282,4.8877,3.0759,3.7846,4.1213
MYH13,0.0022,0.0158,0.0273,0.0258,0.0101,0.1969,0.0076,0.0216,0.0768,0.0088,0.0372,0.055
ADIPOR2,9.2073,12.9665,10.1772,12.8772,9.3401,20.7487,11.9457,14.5669,20.0315,15.5695,13.2326,12.1581
CDKL3,0.2142,0.1095,0.1417,0.0564,0.1331,0.1251,0.0692,0.1678,0.2559,0.0731,0.1666,0.2606
UPP2,0.0279,0.042,0.0126,0.1536,0.0292,0.0381,0.0105,0.0633,0.0965,0.0275,0.0177,0.0728
PRSS21,0.056,0.1543,0.0284,1.7872,18.2456,7.2642,4.8044,0.1119,0.0427,36.2574,2.2766,1.1626
MARK4,5.9606,4.5835,7.2086,7.1182,11.9339,9.3769,4.8372,6.7206,5.5065,4.8571,3.4086,6.043
PROM1,2.723,9.7693,20.1433,6.9336,10.766,4.7971,4.7018,0.6142,5.2798,9.7037,4.4804,10.6958
CCDC124,24.0182,22.4027,17.1415,16.6579,20.6127,19.4418,30.566,24.1206,16.7894,33.0259,20.7887,27.1638
CEACAM21,0.1462,0.872,0.3763,0.2198,0.5548,0.2221,0.5513,0.9133,1.0446,0.0753,0.6194,3.4634
PAFAH1B1,9.2617,7.232,4.7279,5.7895,6.442,10.3595,10.7561,4.2381,10.4972,6.7715,11.6887,11.7331
NOS2,1.8213,0.3919,4.3163,0.7857,1.0114,0.5913,1.8652,4.9955,3.3052,4.924,40.7666,1.1559
DNAH9,0.0187,0.0073,0.0296,0.0256,0.0022,0.0286,0.0129,0.0045,0.0644,0.0048,0.0103,0.0866
KIAA0100,7.6957,13.1989,6.1158,11.4085,21.4318,22.6048,22.4393,41.9232,49.9372,19.5782,9.8149,18.1137
SLC13A2,6.674,1.056,12.7631,0.5816,0.871,0.0105,0.0048,0.1331,2.2847,0.0965,0.0325,0.1459
GAS7,4.5033,6.3909,2.499,7.526,4.386,8.094,4.6624,3.6125,5.5089,1.2355,4.2379,3.9941
TRAPPC6A,8.5282,5.2773,34.7025,10.9859,12.7341,15.6284,6.3077,19.8953,10.6351,8.2708,4.4247,10.8714
MATK,0.1564,1.1132,0.5348,0.1718,0.3514,0.1741,0.8202,0.7077,0.5843,0.0752,0.3213,2.2106
CEACAM7,0.3477,1.3309,1.1847,20.2555,31.4966,0.2886,1.0152,6.1419,67.7525,112.9887,3.5539,0.1572
CD79B,0.1669,1.6387,0.6403,0.3448,0.251,0.3877,1.6686,0.3364,0.5618,0.197,0.263,17.6407
SCN4A,0.0167,0.0937,0.0203,0.012,0.2332,0.0382,0.0264,0.0361,0.055,0,0.0106,0.2856
ST7L,0.9338,1.7368,1.429,0.8744,0.9592,1.2082,1.1387,1.3796,1.2486,1.1521,2.1186,1.2228
TKTL1,0.0234,0.0313,0.0527,0,3.1213,0.0128,0,0.0156,6.3996,0.0154,0.0645,0.248
PAX6,0.0273,0.0535,0.0063,0.001,0.0036,0.0311,0.0038,5.00E-04,0.0277,0.2519,0.0161,0.043
RPUSD1,2.8139,9.8472,9.7183,4.3507,6.4939,26.4313,8.76,11.6498,4.6809,14.5599,9.0715,7.1124
RHBDF1,3.4766,6.6097,7.0392,8.6931,10.115,11.6859,7.1635,10.1942,5.9074,7.4688,4.8021,7.2983
LUC7L,2.9155,4.3189,3.3394,1.6596,2.9454,5.4913,4.0662,4.9326,3.9337,3.9479,6.2878,6.0705
CACNA2D2,0.6452,0.2925,0.1686,0.2944,0.6666,0.6004,0.3828,0.0829,3.1267,0.2891,0.3333,0.6346
BAIAP3,0.3583,1.0859,0.1431,0.9504,1.854,0.6543,0.3262,0.3334,0.415,1.6067,0.4954,1.3631
TSR3,27.0203,24.5065,17.7671,18.8842,11.4792,21.7099,19.0687,21.0094,4.9674,26.1139,8.6739,16.4318
PIGQ,1.7646,3.3655,2.772,2.4787,2.8568,5.8348,3.5137,4.4187,1.4062,3.0795,2.3046,3.3168
CRAMP1,1.6111,3.3501,1.2353,1.1051,1.2259,2.0552,1.9832,2.6039,1.0293,2.2222,1.3695,2.4851
TEAD3,49.2357,16.2709,18.6763,23.2405,23.6548,31.7591,18.7909,15.1659,20.8863,19.7587,9.8908,8.7094
SELE,5.6253,3.9758,7.3277,0.7967,5.4797,0.8078,2.5733,1.5004,0.3515,1.1749,0.6561,0.396
DNAJC11,2.8518,23.0147,2.7367,3.625,16.2016,9.1952,6.0064,9.2596,4.3402,7.9849,8.7892,6.0076
FMO3,0.4643,6.7737,2.9256,1.0681,3.1537,1.827,0.67,1.3862,4.4915,1.3542,1.2665,0.974
MYLIP,17.9336,14.5283,19.3174,4.4809,8.0519,10.7393,14.0789,8.7124,15.9751,4.2306,7.5903,16.7891
NOX1,0.2707,0.3959,47.1398,0.1165,0.2472,0.4118,0.3735,36.1722,17.0073,0.2928,1.2588,0.7194
E2F2,0.2041,1.5176,2.6251,2.2309,2.9672,1.0555,3.9478,8.3409,1.5093,5.8966,6.5909,1.5836
PSMB1,53.3027,72.3412,67.4908,37.1578,49.3094,58.7139,64.7382,79.4444,80.1413,56.4278,70.1746,37.3197
SYN1,2.0614,0.7463,0.3637,0.6772,1.9578,0.4012,0.5755,0.0944,0.9985,1.0807,0.4452,0.7532
JARID2,4.0897,9.5444,6.8056,7.3253,5.8425,5.6479,5.0417,6.2913,7.8032,4.8805,5.6114,8.0361
CDKL5,0.648,3.9387,0.3962,1.1525,1.0587,1.4606,1.2884,0.6979,2.1868,0.7211,1.6156,1.8185
CAMK1G,0.2316,0.3025,0.2794,0.0119,0.1555,0.1116,0.1965,0.1522,0.1614,0.1993,0.1577,0.2102
CDK11A,0.1516,0.0841,0.1024,0.0388,0.1672,0.3676,0.1837,0.1061,0.0991,0.4659,0.1686,0.4762
NADK,7.0931,27.4107,7.5857,7.8891,28.3664,22.3415,16.4577,13.5654,4.431,22.1324,10.8817,20.3161
TFAP2B,0,0.0022,0.0121,0.2503,0.006,0.0018,0,0,0.06,0.0022,0.0085,0.0109
TFAP2D,0,0.0063,0,0,0,0,0,0,0.0915,0,0,0.0366
DLEC1,0.104,0.1174,0.0201,0.1208,0.167,0.339,0.1232,0.1202,0.2416,0.0893,0.1469,0.363
CYTH3,7.2813,11.4506,4.9214,5.1821,9.1204,10.3137,6.8087,4.7182,13.2829,6.4031,6.5205,10.5154
ADAM22,0.2223,0.4251,0.2378,0.17,0.3213,0.7606,1.0184,1.037,0.9524,0.1021,1.6533,1.5063
SYPL1,43.3067,64.9161,31.1332,51.6618,41.2251,44.1002,56.6197,130.3875,48.4015,203.0802,68.7,67.9915
CYB561,4.7854,18.6176,13.5791,22.8295,14.789,25.5406,19.5993,27.5076,5.2435,30.2458,12.7659,10.5033
SPAG9,7.2098,8.3172,3.5202,5.26,10.7436,7.015,9.3783,14.9844,27.3126,7.3834,9.5137,10.2933
CELSR3,0.1551,1.0287,0.3182,0.1027,4.9334,1.6812,0.8071,1.2862,4.1749,2.7614,1.4095,0.509
AASS,4.0799,1.5626,0.7926,1.3751,1.6589,1.176,3.2357,0.1817,2.1264,0.4429,3.7195,2.7111
PLEKHG6,3.2961,11.5354,21.9672,15.6372,12.6688,11.0166,6.3408,10.255,31.6082,13.0613,5.7856,11.3397
SS18L2,2.5298,4.4366,6.9068,2.7869,3.9409,2.6506,3.8847,5.5472,5.5516,9.0225,9.7392,3.5853
MPND,4.7634,5.6339,6.2353,3.7976,1.4917,5.1655,3.5408,5.7601,1.5159,5.7812,3.227,4.2806
